,名稱,平台,房型,早餐,廚房,停車,地區,地址,Map Link
12/14,Westpark Living,Booking,整層公寓,x,v,x,慕尼黑 Munich,"Rüdesheimer Str. 4, 森丁-西園, 80686 慕尼黑, 德國",https://maps.app.goo.gl/PWAsHgKyXUtBpmqj7
12/15,Westpark Living,Booking,整層公寓,x,v,x,慕尼黑 Munich,"Rüdesheimer Str. 4, 森丁-西園, 80686 慕尼黑, 德國",https://maps.app.goo.gl/PWAsHgKyXUtBpmqj7
12/16,Westpark Living,Booking,整層公寓,x,v,x,慕尼黑 Munich,"Rüdesheimer Str. 4, 森丁-西園, 80686 慕尼黑, 德國",https://maps.app.goo.gl/PWAsHgKyXUtBpmqj7
12/17,Westpark Living,Booking,整層公寓,x,v,x,慕尼黑 Munich,"Rüdesheimer Str. 4, 森丁-西園, 80686 慕尼黑, 德國",https://maps.app.goo.gl/PWAsHgKyXUtBpmqj7
12/18,Ferienhaus Schlagerbauer Biohof,Booking,整層公寓,x,v,x,薩爾斯堡 Salzburg,"4 Haslbergerweg, 利登伯格, 5020 薩爾斯堡, 奧地利",https://maps.app.goo.gl/5G9r9scLcRRAevUq5
12/19,Ferienhaus Schlagerbauer Biohof,Booking,整層公寓,x,v,x,薩爾斯堡 Salzburg,"4 Haslbergerweg, 利登伯格, 5020 薩爾斯堡, 奧地利",https://maps.app.goo.gl/5G9r9scLcRRAevUq5
12/20,Ferienhaus Schlagerbauer Biohof,Booking,整層公寓,x,v,x,薩爾斯堡 Salzburg,"4 Haslbergerweg, 利登伯格, 5020 薩爾斯堡, 奧地利",https://maps.app.goo.gl/5G9r9scLcRRAevUq5
12/21,Sunny apartment with 1 balcony,Booking,整層公寓,x,v,x,維也納 Vienna,"28 Siccardsburggasse, 10. 法沃里坦, 1100 維也納, 奧地利",https://maps.app.goo.gl/DeAo75WyUkLJoeft9
12/22,Sunny apartment with 1 balcony,Booking,整層公寓,x,v,x,維也納 Vienna,"28 Siccardsburggasse, 10. 法沃里坦, 1100 維也納, 奧地利",https://maps.app.goo.gl/DeAo75WyUkLJoeft9
12/23,Sunny apartment with 1 balcony,Booking,整層公寓,x,v,x,維也納 Vienna,"28 Siccardsburggasse, 10. 法沃里坦, 1100 維也納, 奧地利",https://maps.app.goo.gl/DeAo75WyUkLJoeft9
